ID;session;trial;response;outcome;mean;sd
20;1;199;25;34;46;15
20;1;200;34;71;76;15
20;1;201;31;64;76;15
20;1;202;55;64;76;15
20;1;203;61;55;76;15
20;1;204;51;51;76;15
20;1;205;42;63;76;15
20;1;206;56;90;76;15
20;1;207;68;51;76;15
20;1;208;57;71;76;15
20;1;209;63;65;76;15
20;1;210;63;88;76;15
20;1;211;67;53;76;15
20;1;212;57;81;76;15
20;1;213;61;81;76;15
20;1;214;81;57;76;15
20;1;215;68;100;76;15
20;1;216;99;85;76;15
20;1;217;84;55;76;15
20;1;218;82;46;76;15
20;1;219;59;90;76;15
20;1;220;58;89;76;15
20;1;221;85;71;76;15
20;1;222;81;93;76;15
20;1;223;92;64;76;15
20;1;224;73;83;76;15
20;1;225;82;97;76;15
20;1;226;87;77;76;15
20;1;227;86;100;76;15
20;1;228;97;68;76;15
20;1;229;83;63;76;15
20;1;230;71;68;76;15
20;1;231;72;67;76;15
20;1;232;75;54;76;15
20;1;233;67;73;76;15
20;1;234;77;73;76;15
20;1;235;78;82;76;15
20;1;236;83;84;76;15
20;1;237;80;67;76;15
20;1;238;78;70;76;15
20;1;239;78;53;76;15
20;1;240;72;80;76;15
20;2;1;71;42;49;5
20;2;2;46;51;49;5
20;2;3;46;54;49;5
20;2;4;40;43;49;5
20;2;5;39;62;49;5
20;2;6;46;49;49;5
20;2;7;40;55;49;5
20;2;8;48;46;49;5
20;2;9;43;47;49;5
20;2;10;43;58;49;5
20;2;11;47;49;49;5
20;2;12;43;20;18;5
20;2;13;40;12;18;5
20;2;14;20;22;18;5
20;2;15;18;13;18;5
20;2;16;12;30;18;5
20;2;17;19;27;18;5
20;2;18;16;19;18;5
20;2;19;21;30;18;5
20;2;20;23;16;18;5
20;2;21;12;12;18;5
20;2;22;15;14;18;5
20;2;23;13;16;18;5
20;2;24;12;20;18;5
20;2;25;11;20;29;15
20;2;26;12;23;29;15
20;2;27;17;8;29;15
20;2;28;8;39;29;15
20;2;29;19;40;29;15
20;2;30;36;14;29;15
